基督山伯爵,"
        
  
  大仲马 / 周克希、韩沪麟 / 上海译文出版社 / 1991-12-1 / 43.90元

      ",9.0
来自新世界（上下）,"
        
  
  [日] 贵志祐介 / 丁丁虫 / 上海译文出版社 / 2014-4 / 88.00

      ",9.1
如果在冬夜，一个旅人,"
        
  
  [意大利] 伊塔洛·卡尔维诺 / 萧天佑 / 译林出版社 / 2007-6 / 25.00元

      ",8.7
呼兰河传:1947年版本?原版珍藏,"
        
  
  萧红 / 百花文艺出版社 / 2005-01 / 19.00

      ",8.9
没有人给他写信的上校,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 陶玉平 / 南海出版公司 / 2013-5 / 19.50元

      ",8.5
洛丽塔,"
        
  
  [美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元

      ",7.7
午夜之子,"
        
  
  [英] 萨曼·鲁西迪 / 刘凯芳 / 北京燕山出版社 / 2015-9 / 56.00元

      ",8.5
金阁寺,"
        
  
  [日] 三岛由纪夫 / 唐月梅 / 上海译文出版社 / 2009-1 / 24.00

      ",8.6
卡尔维诺文集（第三卷）:我们的祖先,"
        
  
  [意大利] 卡尔维诺 / 吴正仪 / 译林出版社 / 2001-9 / 21.00元

      ",9.3
金瓶梅:张竹坡批评第一奇书,"
        
  
  兰陵笑笑生 / 齐鲁出版社 / 1991 / 268.00元

      ",8.7
阿特拉斯耸耸肩（上下）,"
        
  
  安·兰德 / 杨格 / 重庆出版社 / 2007-10 / 98.00元

      ",8.6
人鼠之间,"
        
  
  [美] 约翰·斯坦贝克（John Steinbeck） / 李天奇 / 上海文艺出版社 / 2016-1-1 / 29.00元

      ",9.1
达·芬奇密码,"
        
  
  [美] 丹·布朗 / 朱振武、吴晟、周元晓 / 上海人民出版社 / 2004-2 / 28.00元

      ",8.2
清明上河图密码4:隐藏在千古名画中的阴谋与杀局,"
        
  
  冶文彪 / 北京联合出版公司 / 2017-6-1 / 58.00

      ",8.8
哈扎尔辞典（阳本）:一部十万个词语的辞典小说,"
        
  
  (塞尔维亚)米洛拉德·帕维奇 / 南山、戴骢、石枕川 / 上海译文出版社 / 2013-1-1 / 45.00元

      ",8.8
红豆生南国,"
        
  
  王安忆 / 人民文学出版社 / 2017-6-19 / 35.00元

      ",7.7
七杀简史,"
        
  
  [牙买加] 马龙·詹姆斯 / 姚向辉 / 江苏凤凰文艺出版社 / 2017-4 / 128.00元

      ",7.6
城南旧事:纪念普及版,"
        
  
  林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元

      ",9.0
背对世界,"
        
  
  [德] 埃尔克·海登莱希 / 丁娜、杜新华 / 湖南文艺出版社 / 2017-1 / 28.80元

      ",8.0
